repository_name,owner_username,stars,repository_url
scikit-learn,scikit-learn,56900,https://github.com/scikit-learn/scikit-learn
superset,apache,55900,https://github.com/apache/superset
pandas,pandas-dev,40700,https://github.com/pandas-dev/pandas
metabase,metabase,35300,https://github.com/metabase/metabase
streamlit,streamlit,29200,https://github.com/streamlit/streamlit
AI-Expert-Roadmap,AMAI-GmbH,27600,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
Data-Science-For-Beginners,microsoft,25200,https://github.com/microsoft/Data-Science-For-Beginners
gradio,gradio-app,25100,https://github.com/gradio-app/gradio
CyberChef,gchq,23700,https://github.com/gchq/CyberChef
goaccess,allinurl,17000,https://github.com/allinurl/goaccess
best-of-ml-python,ml-tooling,14900,https://github.com/ml-tooling/best-of-ml-python
dataease,dataease,13800,https://github.com/dataease/dataease
airbyte,airbytehq,12600,https://github.com/airbytehq/airbyte
ydata-profiling,ydataai,11600,https://github.com/ydataai/ydata-profiling
OpenRefine,OpenRefine,10000,https://github.com/OpenRefine/OpenRefine
pandas_exercises,guipsamora,9600,https://github.com/guipsamora/pandas_exercises
pandas-ai,gventuri,9300,https://github.com/gventuri/pandas-ai
mlcourse.ai,Yorko,9200,https://github.com/Yorko/mlcourse.ai
statsmodels,statsmodels,9200,https://github.com/statsmodels/statsmodels
pygwalker,Kanaries,8300,https://github.com/Kanaries/pygwalker
