repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,180000,https://github.com/tensorflow/tensorflow
transformers,huggingface,118000,https://github.com/huggingface/transformers
pytorch,pytorch,73900,https://github.com/pytorch/pytorch
netdata,netdata,66500,https://github.com/netdata/netdata
ML-For-Beginners,microsoft,63400,https://github.com/microsoft/ML-For-Beginners
cs-video-courses,Developer-Y,62700,https://github.com/Developer-Y/cs-video-courses
keras,keras-team,60100,https://github.com/keras-team/keras
scikit-learn,scikit-learn,56900,https://github.com/scikit-learn/scikit-learn
tesseract,tesseract-ocr,55500,https://github.com/tesseract-ocr/tesseract
d2l-zh,d2l-ai,52500,https://github.com/d2l-ai/d2l-zh
face_recognition,ageitgey,50600,https://github.com/ageitgey/face_recognition
awesome-scalability,binhnguyennus,50200,https://github.com/binhnguyennus/awesome-scalability
faceswap,deepfakes,48000,https://github.com/deepfakes/faceswap
yolov5,ultralytics,44200,https://github.com/ultralytics/yolov5
DeepFaceLab,iperov,43900,https://github.com/iperov/DeepFaceLab
julia,JuliaLang,43800,https://github.com/JuliaLang/julia
TensorFlow-Examples,aymericdamien,43100,https://github.com/aymericdamien/TensorFlow-Examples
100-Days-Of-ML-Code,Avik-Jain,42400,https://github.com/Avik-Jain/100-Days-Of-ML-Code
annotated_deep_learning_paper_implementations,labmlai,40900,https://github.com/labmlai/annotated_deep_learning_paper_implementations
Open-Assistant,LAION-AI,36000,https://github.com/LAION-AI/Open-Assistant
