repository_name,owner_username,stars,repository_url
system-design-primer,donnemartin,238000,https://github.com/donnemartin/system-design-primer
awesome-python,vinta,192000,https://github.com/vinta/awesome-python
tensorflow,tensorflow,180000,https://github.com/tensorflow/tensorflow
Python,TheAlgorithms,174000,https://github.com/TheAlgorithms/Python
CS-Notes,CyC2018,169000,https://github.com/CyC2018/CS-Notes
AutoGPT,Significant-Gravitas,156000,https://github.com/Significant-Gravitas/AutoGPT
project-based-learning,practical-tutorials,144000,https://github.com/practical-tutorials/project-based-learning
transformers,huggingface,118000,https://github.com/huggingface/transformers
30-seconds-of-code,Chalarangelo,117000,https://github.com/Chalarangelo/30-seconds-of-code
free-programming-books-zh_CN,justjavac,107000,https://github.com/justjavac/free-programming-books-zh_CN
thefuck,nvbn,80700,https://github.com/nvbn/thefuck
HelloGitHub,521xueweihan,80300,https://github.com/521xueweihan/HelloGitHub
django,django,74800,https://github.com/django/django
pytorch,pytorch,73900,https://github.com/pytorch/pytorch
fastapi,tiangolo,66400,https://github.com/tiangolo/fastapi
flask,pallets,65300,https://github.com/pallets/flask
core,home-assistant,65300,https://github.com/home-assistant/core
ML-For-Beginners,microsoft,63400,https://github.com/microsoft/ML-For-Beginners
yt-dlp,yt-dlp,62800,https://github.com/yt-dlp/yt-dlp
devops-exercises,bregman-arie,60100,https://github.com/bregman-arie/devops-exercises
